timestamp,x,y,z
1489817301.21,-7.47,-2.44,5.87
1489817301.21,-7.51,-2.46,5.92
1489817301.21,-7.51,-2.45,5.97
1489817301.21,-7.5,-2.42,5.99
1489817301.21,-7.44,-2.36,5.96
1489817301.21,-7.4,-2.38,5.84
1489817301.21,-7.47,-2.44,5.79
1489817301.21,-7.47,-2.44,5.87
1489817301.21,-7.51,-2.46,5.92
1489817301.21,-7.51,-2.45,5.97
1489817301.21,-7.5,-2.42,5.99
1489817301.21,-7.44,-2.36,5.96
1489817301.22,-7.45,-2.23,6.08
1489817301.22,-7.25,-2.19,6.0
1489817301.22,-7.24,-2.23,5.85
1489817301.22,-7.24,-2.22,5.82
1489817301.22,-7.32,-2.28,5.81
1489817301.22,-7.29,-2.24,5.9
1489817301.22,-7.28,-2.24,5.79
1489817301.22,-7.26,-2.14,5.94
1489817301.22,-7.27,-2.15,5.9
1489817301.22,-7.24,-2.15,5.89
1489817301.22,-7.25,-2.16,5.95
1489817301.22,-7.35,-2.15,6.0
1489817301.22,-7.41,-2.15,6.02
1489817301.22,-7.37,-2.18,5.99
1489817301.22,-7.39,-2.15,5.97
1489817301.22,-7.36,-2.19,5.97
1489817301.22,-7.34,-2.12,5.91
1489817301.22,-7.35,-2.15,5.87
1489817301.22,-7.3,-2.13,5.92
1489817301.22,-7.31,-2.15,5.83
1489817301.22,-7.24,-2.15,5.82
1489817301.22,-7.26,-2.14,5.79
1489817301.22,-7.31,-2.17,5.79
1489817301.22,-7.36,-2.26,5.87
1489817301.22,-7.4,-2.32,5.85
1489817301.22,-7.45,-2.28,5.98
1489817301.22,-7.46,-2.32,6.08
1489817301.22,-7.4,-2.34,6.08
1489817301.22,-7.39,-2.37,6.07
1489817301.22,-7.39,-2.42,6.09
1489817301.22,-7.47,-2.42,5.94
1489817301.22,-7.49,-2.32,5.86
1489817301.22,-7.38,-2.1,6.0
1489817301.22,-7.34,-2.16,5.86
1489817301.23,-7.31,-2.32,5.77
1489817301.23,-7.33,-2.3,5.82
1489817301.23,-7.32,-2.24,5.89
1489817301.23,-7.41,-2.22,5.86
1489817301.23,-7.44,-2.18,5.93
1489817301.23,-7.5,-2.07,5.96
1489817301.23,-7.54,-2.04,6.05
1489817301.23,-7.51,-2.03,6.04
1489817301.23,-7.44,-2.02,5.91
1489817301.23,-7.35,-2.12,5.81
1489817301.23,-7.32,-2.15,5.79
1489817301.23,-7.33,-2.2,5.74
1489817301.23,-7.4,-2.19,5.81
1489817301.23,-7.42,-2.22,5.8
1489817301.23,-7.46,-2.3,5.88
1489817301.23,-7.46,-2.27,5.89
1489817301.23,-7.46,-2.27,5.95
1489817301.23,-7.47,-2.21,6.02
1489817301.23,-7.44,-2.25,5.92
1489817301.23,-7.43,-2.26,5.96
1489817301.23,-7.43,-2.29,5.85
1489817301.23,-7.46,-2.23,5.87
1489817301.23,-7.41,-2.21,5.83
1489817301.23,-7.4,-2.25,5.86
1489817301.23,-7.43,-2.21,5.83
1489817301.23,-7.38,-2.18,5.86
1489817301.23,-7.41,-2.22,5.81
1489817301.23,-7.46,-2.23,5.9
1489817301.23,-7.5,-2.26,6.0
1489817301.23,-7.57,-2.23,6.16
1489817301.23,-7.53,-2.14,6.18
1489817301.23,-7.47,-2.13,6.07
1489817301.23,-7.43,-2.14,6.02
1489817301.23,-7.34,-2.14,5.84
1489817301.23,-7.43,-2.24,5.77
1489817301.23,-7.47,-2.22,5.84
1489817301.23,-7.47,-2.21,5.9
1489817301.23,-7.5,-2.25,6.03
1489817301.23,-7.49,-2.19,5.94
1489817301.23,-7.45,-2.13,5.97
1489817301.23,-7.37,-2.1,6.04
1489817301.23,-7.45,-2.14,6.01
1489817301.23,-7.36,-2.28,5.82
1489817301.23,-7.37,-2.24,5.81
1489817301.23,-7.35,-2.23,5.74
1489817301.23,-7.44,-2.27,5.79
1489817301.23,-7.47,-2.27,5.83
1489817301.23,-7.42,-2.24,5.91
1489817301.23,-7.38,-2.24,5.94
1489817301.23,-7.35,-2.24,5.92
1489817301.23,-7.27,-2.2,5.93
1489817301.23,-7.27,-2.17,5.95
1489817301.23,-7.27,-2.28,5.9
1489817301.23,-7.3,-2.26,5.88
1489817301.23,-7.27,-2.22,5.87
1489817301.23,-7.24,-2.16,5.82
1489817301.23,-7.24,-2.14,5.8
1489817301.23,-7.31,-2.14,5.84
1489817301.23,-7.25,-2.15,5.96
1489817301.23,-7.24,-2.15,5.91
1489817301.23,-7.24,-2.17,5.95
1489817301.24,-7.31,-2.23,6.0
1489817301.24,-7.35,-2.23,5.92
1489817301.24,-7.35,-2.24,5.84
1489817301.24,-7.31,-2.25,5.77
1489817301.24,-7.29,-2.28,5.72
1489817301.24,-7.31,-2.29,5.7
1489817301.24,-7.35,-2.16,5.8
1489817301.26,-7.35,-2.17,5.86
1489817301.27,-7.42,-2.2,5.93
1489817301.28,-7.47,-2.16,6.03
1489817301.3,-7.45,-2.19,6.06
1489817301.31,-7.46,-2.29,6.05
1489817301.33,-7.49,-2.24,6.02
1489817301.35,-7.52,-2.26,6.04
1489817301.36,-7.47,-2.22,6.05
1489817301.37,-7.46,-2.14,6.02
1489817301.39,-7.42,-2.14,6.0
1489817301.4,-7.35,-2.21,5.98
1489817301.42,-7.37,-2.16,5.86
1489817301.43,-7.4,-2.1,5.87
1489817301.44,-7.36,-2.06,5.92
1489817301.46,-7.31,-2.11,5.91
1489817301.48,-7.33,-2.26,5.88
1489817301.49,-7.35,-2.26,5.91
1489817301.51,-7.41,-2.25,5.89
1489817301.52,-7.48,-2.28,5.86
1489817301.53,-7.51,-2.27,5.97
1489817301.55,-7.56,-2.25,5.98
1489817301.56,-7.58,-2.19,6.02
1489817301.57,-7.54,-2.15,5.91
1489817301.59,-7.43,-2.16,5.89
1489817301.61,-7.37,-2.2,5.77
1489817301.62,-7.34,-2.22,5.71
1489817301.64,-7.38,-2.27,5.74
1489817301.65,-7.43,-2.23,5.78
1489817301.66,-7.43,-2.15,5.81
1489817301.68,-7.46,-2.19,5.87
1489817301.69,-7.46,-2.17,5.92
1489817301.71,-7.43,-2.2,5.97
1489817301.72,-7.43,-2.17,5.98
1489817301.74,-7.38,-2.16,5.92
1489817301.75,-7.41,-2.2,5.94
1489817301.77,-7.48,-2.18,5.87
1489817301.78,-7.46,-2.17,5.87
1489817301.8,-7.39,-2.17,5.91
1489817301.81,-7.37,-2.15,5.85
1489817301.82,-7.38,-2.15,5.86
1489817301.84,-7.41,-2.16,5.88
1489817301.85,-7.43,-2.16,5.81
1489817301.87,-7.47,-2.21,5.91
1489817301.88,-7.47,-2.18,5.85
1489817301.9,-7.46,-2.18,5.9
1489817301.91,-7.44,-2.21,5.84
1489817301.93,-7.44,-2.26,5.79
1489817301.94,-7.48,-2.18,5.83
1489817301.96,-7.44,-2.17,5.85
1489817301.97,-7.46,-2.18,5.86
1489817301.98,-7.38,-2.18,5.84
1489817302.0,-7.44,-2.23,5.84
1489817302.01,-7.42,-2.23,5.86
1489817302.03,-7.47,-2.18,5.77
1489817302.04,-7.42,-2.16,5.91
1489817302.06,-7.41,-2.13,5.9
1489817302.07,-7.44,-2.31,5.8
1489817302.09,-7.42,-2.26,5.82
1489817302.1,-7.43,-2.16,5.86
1489817302.12,-7.39,-2.14,5.79
1489817302.13,-7.4,-2.17,5.79
1489817302.15,-7.51,-2.17,5.86
1489817302.16,-7.5,-2.18,5.99
1489817302.17,-7.5,-2.18,5.99
1489817302.19,-7.47,-2.17,5.96
1489817302.2,-7.4,-2.15,5.85
1489817302.22,-7.39,-2.19,5.8
1489817302.23,-7.39,-2.26,5.78
1489817302.25,-7.47,-2.22,5.85
1489817302.26,-7.47,-2.16,5.83
1489817302.27,-7.46,-2.23,5.93
1489817302.29,-7.88,-2.34,6.25
1489817302.3,-8.83,-2.66,7.06
1489817302.32,-9.6,-2.66,8.44
1489817302.33,-9.41,-1.98,9.4
1489817302.35,-8.49,-0.94,8.74
1489817302.36,-6.77,-0.17,7.13
1489817302.38,-5.79,-1.03,4.32
1489817302.39,-6.22,-3.45,2.93
1489817302.41,-7.03,-3.17,2.37
1489817302.42,-6.72,-2.64,3.53
1489817302.43,-6.16,-2.15,5.7
1489817302.45,-5.88,-1.98,6.14
1489817302.46,-5.95,-2.07,6.02
1489817302.48,-6.53,-2.34,6.11
1489817302.49,-6.8,-2.7,5.63
1489817302.51,-6.64,-2.62,5.14
1489817302.52,-6.43,-2.51,4.75
1489817302.54,-6.32,-2.34,4.78
1489817302.55,-6.52,-2.36,5.04
1489817302.57,-6.91,-2.38,5.17
1489817302.58,-7.45,-2.48,5.65
1489817302.59,-8.16,-2.51,6.25
1489817302.61,-8.71,-2.33,7.05
1489817302.62,-8.94,-2.36,7.62
