timestamp,x,y,z
1489816800.72,-7.28,0.26,6.52
1489816800.72,-7.24,0.27,6.46
1489816800.72,-7.3,0.27,6.49
1489816800.72,-7.31,0.36,6.46
1489816800.72,-7.3,0.37,6.54
1489816800.72,-7.28,0.31,6.59
1489816800.72,-7.29,0.32,6.62
1489816800.72,-7.25,0.27,6.59
1489816800.72,-7.24,0.26,6.39
1489816800.72,-7.24,0.26,6.3
1489816800.72,-7.28,0.3,6.33
1489816800.73,-7.3,0.34,6.43
1489816800.73,-7.37,0.36,6.49
1489816800.73,-7.33,0.33,6.63
1489816800.73,-7.3,0.26,6.55
1489816800.73,-7.26,0.27,6.51
1489816800.73,-7.22,0.29,6.58
1489816800.73,-7.22,0.32,6.56
1489816800.73,-7.24,0.26,6.53
1489816800.73,-7.24,0.28,6.45
1489816800.73,-7.21,0.29,6.46
1489816800.73,-7.22,0.29,6.5
1489816800.73,-7.21,0.3,6.51
1489816800.73,-7.18,0.33,6.51
1489816800.73,-7.21,0.25,6.56
1489816800.73,-7.25,0.3,6.48
1489816800.73,-7.24,0.26,6.53
1489816800.73,-7.24,0.31,6.58
1489816800.73,-7.28,0.36,6.56
1489816800.73,-7.22,0.36,6.55
1489816800.73,-7.21,0.34,6.52
1489816800.73,-7.15,0.33,6.44
1489816800.73,-7.13,0.34,6.35
1489816800.73,-7.18,0.33,6.35
1489816800.73,-7.14,0.31,6.46
1489816800.73,-7.14,0.38,6.52
1489816800.73,-7.17,0.35,6.5
1489816800.73,-7.15,0.34,6.55
1489816800.73,-7.16,0.29,6.56
1489816800.73,-7.1,0.29,6.52
1489816800.73,-7.07,0.3,6.47
1489816800.73,-7.07,0.27,6.52
1489816800.73,-7.09,0.28,6.43
1489816800.73,-7.09,0.28,6.45
1489816800.73,-7.09,0.3,6.48
1489816800.73,-7.08,0.29,6.54
1489816800.73,-7.13,0.27,6.46
1489816800.73,-7.23,0.29,6.49
1489816800.73,-7.22,0.33,6.48
1489816800.74,-7.33,0.41,6.59
1489816800.74,-7.31,0.35,6.67
1489816800.74,-7.26,0.34,6.58
1489816800.74,-7.31,0.28,6.44
1489816800.74,-7.25,0.24,6.53
1489816800.74,-7.24,0.3,6.54
1489816800.74,-7.3,0.3,6.49
1489816800.74,-7.28,0.32,6.51
1489816800.74,-7.29,0.37,6.47
1489816800.74,-7.24,0.34,6.5
1489816800.74,-7.22,0.3,6.52
1489816800.74,-7.22,0.24,6.53
1489816800.74,-7.16,0.24,6.51
1489816800.74,-7.19,0.22,6.5
1489816800.74,-7.21,0.18,6.46
1489816800.74,-7.24,0.22,6.54
1489816800.74,-7.27,0.23,6.51
1489816800.74,-7.26,0.25,6.46
1489816800.74,-7.36,0.3,6.47
1489816800.74,-7.3,0.33,6.46
1489816800.74,-7.33,0.36,6.51
1489816800.74,-7.27,0.3,6.55
1489816800.74,-7.21,0.38,6.47
1489816800.74,-7.19,0.26,6.46
1489816800.74,-7.23,0.23,6.36
1489816800.74,-7.17,0.3,6.31
1489816800.74,-7.25,0.31,6.31
1489816800.74,-7.31,0.31,6.45
1489816800.74,-7.31,0.32,6.49
1489816800.74,-7.33,0.27,6.6
1489816800.74,-7.29,0.23,6.53
1489816800.74,-7.25,0.22,6.51
1489816800.74,-7.21,0.18,6.49
1489816800.74,-7.24,0.23,6.5
1489816800.74,-7.27,0.26,6.48
1489816800.74,-7.24,0.29,6.5
1489816800.74,-7.21,0.31,6.49
