timestamp,x,y,z
1489874864.41,-749.0,-176.0,758.0
1489874864.41,-716.0,-136.0,773.0
1489874864.41,-702.0,-132.0,773.0
1489874864.41,-701.0,-129.0,773.0
1489874864.41,-696.0,-136.0,750.0
1489874864.41,-685.0,-131.0,736.0
1489874864.41,-679.0,-121.0,721.0
1489874864.41,-674.0,-114.0,711.0
1489874864.41,-674.0,-104.0,700.0
1489874864.41,-666.0,-99.0,692.0
1489874864.41,-672.0,-95.0,691.0
1489874864.41,-669.0,-89.0,683.0
1489874864.41,-669.0,-81.0,689.0
1489874864.41,-674.0,-80.0,683.0
1489874864.41,-683.0,-73.0,688.0
1489874864.41,-684.0,-70.0,688.0
1489874864.41,-689.0,-62.0,687.0
1489874864.41,-701.0,-51.0,685.0
1489874864.41,-703.0,-44.0,676.0
1489874864.41,-707.0,-36.0,685.0
1489874864.41,-701.0,-26.0,687.0
1489874864.41,-699.0,-21.0,695.0
1489874864.41,-697.0,-20.0,693.0
1489874864.41,-700.0,-21.0,704.0
1489874864.41,-701.0,-20.0,707.0
1489874864.41,-706.0,-17.0,713.0
1489874864.41,-713.0,-5.0,716.0
1489874864.41,-725.0,-2.0,716.0
1489874864.41,-728.0,1.0,720.0
1489874864.41,-729.0,12.0,723.0
1489874864.41,-737.0,20.0,724.0
1489874864.41,-741.0,26.0,728.0
1489874864.42,-742.0,22.0,724.0
1489874864.42,-747.0,23.0,732.0
1489874864.42,-743.0,24.0,730.0
1489874864.42,-743.0,18.0,728.0
1489874864.42,-743.0,15.0,736.0
1489874864.42,-741.0,8.0,732.0
1489874864.42,-739.0,8.0,738.0
1489874864.42,-734.0,2.0,733.0
1489874864.42,-729.0,2.0,723.0
1489874864.42,-720.0,-1.0,719.0
1489874864.42,-712.0,-10.0,715.0
1489874864.42,-700.0,-9.0,708.0
1489874864.42,-695.0,-21.0,703.0
1489874864.42,-694.0,-33.0,696.0
1489874864.42,-696.0,-45.0,694.0
1489874864.42,-699.0,-58.0,696.0
1489874864.42,-707.0,-65.0,702.0
1489874864.42,-704.0,-70.0,690.0
1489874864.42,-705.0,-71.0,690.0
1489874864.42,-708.0,-70.0,695.0
1489874864.42,-711.0,-73.0,699.0
1489874864.42,-714.0,-82.0,705.0
1489874864.42,-720.0,-90.0,710.0
1489874864.42,-718.0,-95.0,716.0
1489874864.42,-729.0,-102.0,721.0
1489874864.42,-731.0,-104.0,725.0
1489874864.42,-732.0,-112.0,730.0
1489874864.42,-732.0,-113.0,737.0
1489874864.42,-729.0,-115.0,739.0
1489874864.42,-727.0,-121.0,746.0
1489874864.42,-722.0,-123.0,750.0
1489874864.42,-718.0,-124.0,758.0
1489874864.42,-715.0,-125.0,750.0
1489874864.42,-709.0,-131.0,758.0
1489874864.42,-699.0,-131.0,755.0
1489874864.42,-694.0,-130.0,764.0
1489874864.42,-689.0,-132.0,765.0
1489874864.42,-685.0,-137.0,759.0
1489874864.42,-682.0,-136.0,748.0
1489874864.42,-680.0,-136.0,747.0
1489874864.43,-676.0,-139.0,745.0
1489874864.43,-680.0,-143.0,747.0
1489874864.43,-683.0,-147.0,743.0
1489874864.43,-687.0,-149.0,751.0
1489874864.43,-687.0,-153.0,754.0
1489874864.43,-690.0,-160.0,762.0
1489874864.43,-689.0,-159.0,774.0
1489874864.43,-685.0,-175.0,773.0
1489874864.43,-676.0,-190.0,773.0
1489874864.43,-678.0,-194.0,781.0
1489874864.43,-665.0,-189.0,786.0
1489874864.43,-658.0,-187.0,782.0
1489874864.43,-640.0,-193.0,785.0
1489874864.43,-629.0,-203.0,784.0
1489874864.43,-616.0,-208.0,776.0
