timestamp,x,y,z
1489817627.87,-6.85,-2.37,6.11
1489817627.87,-6.41,-2.43,5.75
1489817627.87,-6.21,-2.44,5.62
1489817627.87,-6.06,-2.52,5.47
1489817627.87,-6.02,-2.59,5.01
1489817627.87,-5.9,-2.9,4.49
1489817627.87,-5.8,-3.34,4.51
1489817627.87,-6.15,-3.27,5.41
1489817627.87,-7.31,-2.83,6.54
1489817627.87,-8.72,-2.72,7.04
1489817627.87,-9.44,-2.11,8.11
1489817627.87,-9.21,-1.87,8.56
1489817627.87,-8.51,-1.77,8.14
1489817627.87,-7.81,-2.01,6.8
1489817627.87,-7.29,-2.28,5.66
1489817627.87,-6.91,-2.35,4.92
1489817627.87,-6.82,-2.43,5.11
1489817627.87,-6.8,-2.42,5.56
1489817627.87,-6.92,-2.44,5.95
1489817627.87,-7.01,-2.45,5.92
1489817627.87,-7.1,-2.53,6.04
1489817627.87,-7.28,-2.58,6.26
1489817627.87,-7.47,-2.79,6.35
1489817627.87,-7.58,-2.79,6.41
1489817627.87,-7.42,-2.71,6.39
1489817627.87,-7.25,-2.54,6.22
1489817627.88,-7.17,-2.54,6.1
1489817627.88,-7.02,-2.62,5.9
1489817627.88,-7.0,-2.58,5.83
1489817627.88,-6.97,-2.68,5.75
1489817627.88,-7.03,-2.72,5.84
1489817627.88,-7.1,-2.69,5.99
1489817627.88,-7.11,-2.68,6.02
1489817627.88,-7.07,-2.73,5.97
1489817627.88,-7.23,-2.73,6.03
1489817627.88,-7.26,-2.65,5.96
1489817627.88,-7.4,-2.67,5.98
1489817627.88,-7.4,-2.67,6.05
1489817627.88,-7.3,-2.67,6.02
1489817627.88,-7.26,-2.77,5.97
1489817627.88,-7.06,-2.74,5.91
1489817627.88,-7.02,-2.67,5.86
1489817627.88,-7.05,-2.61,5.88
1489817627.88,-7.21,-2.68,5.97
1489817627.88,-7.25,-2.67,6.03
1489817627.88,-7.3,-2.69,6.08
1489817627.88,-7.27,-2.64,6.05
1489817627.88,-7.23,-2.65,6.03
1489817627.88,-7.11,-2.64,5.99
1489817627.88,-7.02,-2.72,5.96
1489817627.88,-7.13,-2.7,5.99
1489817627.88,-7.21,-2.64,5.96
1489817627.88,-7.02,-2.64,6.06
1489817627.88,-7.01,-2.69,5.94
1489817627.88,-7.08,-2.75,5.84
1489817627.88,-7.12,-2.74,5.92
1489817627.88,-7.18,-2.75,5.93
1489817627.88,-7.27,-2.71,5.96
1489817627.88,-7.34,-2.77,6.02
1489817627.88,-7.29,-2.74,6.0
1489817627.88,-7.29,-2.79,6.06
1489817627.88,-7.26,-2.8,5.99
1489817627.88,-7.22,-2.77,5.96
1489817627.88,-7.08,-2.85,5.91
1489817627.88,-7.09,-2.88,5.87
1489817627.88,-7.12,-2.89,5.88
1489817627.88,-7.17,-2.87,5.89
1489817627.88,-7.14,-2.82,5.94
1489817627.88,-7.11,-2.76,5.92
1489817627.88,-6.99,-2.77,5.89
1489817627.88,-7.01,-2.73,5.98
1489817627.88,-7.11,-2.75,5.93
1489817627.88,-7.29,-2.68,5.95
1489817627.88,-7.37,-2.63,6.3
1489817627.88,-7.43,-2.68,6.37
1489817627.88,-7.53,-2.7,6.35
1489817627.88,-7.55,-2.74,6.58
1489817627.88,-7.5,-2.61,6.59
1489817627.88,-7.31,-2.43,6.38
1489817627.88,-7.13,-2.44,6.08
1489817627.88,-7.12,-2.62,5.69
1489817627.88,-6.99,-2.83,5.37
1489817627.88,-6.8,-2.82,5.15
1489817627.88,-6.73,-2.87,5.21
1489817627.88,-6.72,-2.94,5.32
1489817627.88,-6.74,-2.92,5.53
1489817627.88,-6.8,-2.92,5.73
1489817627.89,-6.92,-2.84,5.76
1489817627.89,-6.94,-2.84,5.99
1489817627.89,-7.04,-2.8,5.92
1489817627.89,-7.19,-2.92,5.84
1489817627.89,-7.33,-3.02,6.0
1489817627.89,-7.44,-2.91,6.14
1489817627.89,-7.49,-2.9,6.36
1489817627.89,-7.47,-2.84,6.43
1489817627.89,-7.45,-2.72,6.45
1489817627.89,-7.35,-2.61,6.34
1489817627.89,-7.15,-2.56,6.07
1489817627.89,-6.98,-2.55,5.9
1489817627.89,-6.89,-2.57,5.75
1489817627.89,-6.83,-2.54,5.58
1489817627.9,-6.67,-2.36,5.41
1489817627.91,-6.59,-2.43,5.33
1489817627.92,-6.75,-2.56,5.26
1489817627.94,-7.15,-2.84,5.32
1489817627.96,-7.55,-2.93,5.76
1489817627.97,-8.08,-3.15,6.22
1489817627.99,-8.19,-3.12,6.88
1489817628.0,-8.23,-2.51,7.18
1489817628.01,-7.69,-2.4,7.19
1489817628.03,-7.39,-2.54,6.41
1489817628.04,-7.14,-2.64,5.74
1489817628.06,-6.83,-2.58,5.15
1489817628.07,-6.62,-2.66,4.99
1489817628.09,-6.65,-2.67,5.03
1489817628.1,-6.75,-2.64,5.4
1489817628.12,-7.17,-2.75,5.73
1489817628.13,-7.71,-2.96,6.28
1489817628.15,-8.12,-2.82,7.12
1489817628.16,-8.48,-2.68,7.69
1489817628.17,-8.49,-2.57,7.81
1489817628.19,-8.03,-2.53,7.07
1489817628.2,-7.42,-2.62,6.27
1489817628.22,-6.67,-2.79,5.14
1489817628.23,-6.31,-2.97,4.3
1489817628.25,-6.6,-2.89,4.28
1489817628.26,-6.94,-2.93,5.41
1489817628.28,-7.08,-2.68,6.06
1489817628.29,-7.22,-2.63,6.48
1489817628.31,-7.21,-2.66,6.66
1489817628.32,-7.27,-2.7,6.54
1489817628.33,-7.25,-2.73,6.33
1489817628.35,-7.24,-2.88,6.03
1489817628.36,-7.24,-2.87,5.86
1489817628.38,-7.16,-2.79,5.77
1489817628.39,-7.2,-2.79,5.89
1489817628.41,-7.03,-2.55,6.14
1489817628.42,-7.07,-2.57,6.24
1489817628.44,-6.94,-2.7,5.94
1489817628.45,-6.94,-2.75,5.77
1489817628.47,-6.88,-2.75,5.92
1489817628.48,-6.88,-2.78,6.11
1489817628.49,-6.9,-2.7,6.27
1489817628.51,-6.93,-2.72,6.37
1489817628.52,-6.87,-2.69,6.3
1489817628.54,-6.79,-2.72,5.94
1489817628.55,-6.78,-2.71,5.83
1489817628.57,-6.54,-2.71,5.79
1489817628.58,-6.2,-2.68,5.6
1489817628.6,-6.08,-2.62,5.51
1489817628.61,-5.6,-2.73,4.87
1489817628.63,-5.31,-3.03,4.3
1489817628.64,-5.51,-3.43,4.34
1489817628.65,-6.07,-3.6,4.81
1489817628.67,-6.82,-3.27,5.72
1489817628.68,-7.74,-2.95,6.44
1489817628.7,-8.44,-2.76,7.22
1489817628.71,-8.96,-2.57,7.84
1489817628.73,-8.8,-1.9,8.04
