timestamp,x,y,z
1489817760.47,-6.92,-2.35,5.85
1489817760.47,-6.76,-2.46,5.64
1489817760.47,-6.99,-2.46,5.55
1489817760.47,-7.39,-2.18,5.45
1489817760.47,-7.78,-1.87,5.66
1489817760.47,-8.01,-1.66,5.85
1489817760.47,-8.07,-1.49,5.95
1489817760.47,-8.17,-1.26,6.14
1489817760.47,-8.08,-1.04,6.46
1489817760.47,-8.0,-0.94,6.58
1489817760.47,-7.73,-1.12,6.47
1489817760.47,-7.22,-1.45,6.57
1489817760.47,-6.9,-1.6,6.28
1489817760.48,-6.5,-1.83,6.03
1489817760.48,-6.42,-2.13,6.03
1489817760.48,-6.37,-2.35,5.9
1489817760.48,-6.68,-2.48,6.09
1489817760.48,-6.87,-2.53,6.42
1489817760.48,-7.05,-2.54,6.56
1489817760.48,-7.24,-2.41,6.74
1489817760.48,-7.32,-2.42,6.62
1489817760.48,-7.37,-2.51,6.39
1489817760.48,-7.23,-2.35,6.26
1489817760.48,-7.15,-2.11,6.15
1489817760.48,-7.12,-1.97,5.83
1489817760.48,-7.17,-1.89,5.41
1489817760.48,-7.23,-1.7,5.61
1489817760.48,-7.27,-1.58,5.82
1489817760.48,-7.33,-1.41,5.82
1489817760.48,-7.47,-1.47,5.63
1489817760.48,-7.54,-1.53,5.43
1489817760.48,-7.46,-1.6,5.36
1489817760.48,-7.45,-1.75,5.43
1489817760.48,-7.5,-1.94,5.56
1489817760.48,-7.57,-1.92,5.52
1489817760.48,-7.66,-1.93,5.58
1489817760.48,-7.78,-2.04,5.74
1489817760.48,-7.66,-1.93,5.93
1489817760.48,-7.51,-1.9,6.28
1489817760.48,-7.48,-1.91,6.72
1489817760.48,-7.33,-2.02,7.02
1489817760.48,-6.97,-1.95,7.16
1489817760.48,-6.71,-1.96,7.02
1489817760.48,-6.59,-2.08,6.63
1489817760.48,-6.61,-2.11,6.22
1489817760.48,-6.83,-2.08,6.05
1489817760.48,-7.03,-2.03,6.06
1489817760.48,-7.27,-1.93,6.09
1489817760.48,-7.5,-2.01,6.19
1489817760.48,-7.58,-1.93,6.08
1489817760.48,-7.58,-1.95,5.96
