timestamp,x,y,z
1489817847.09,-7.24,-2.08,6.17
1489817847.09,-7.21,-1.92,6.29
1489817847.09,-7.1,-2.0,6.26
1489817847.09,-7.01,-1.9,6.13
1489817847.09,-6.9,-2.02,6.01
1489817847.09,-6.77,-2.08,5.75
1489817847.09,-7.22,-1.96,5.97
1489817847.09,-7.11,-2.03,5.75
1489817847.09,-7.22,-2.15,5.73
1489817847.09,-7.23,-2.16,6.01
1489817847.09,-7.34,-2.09,6.13
1489817847.09,-7.44,-2.07,6.19
1489817847.09,-7.43,-1.99,6.33
1489817847.09,-7.5,-1.98,6.52
1489817847.09,-7.54,-1.92,6.31
1489817847.09,-7.36,-2.04,6.24
1489817847.09,-7.35,-2.09,6.11
1489817847.09,-7.24,-2.0,6.09
1489817847.09,-7.24,-1.98,6.12
1489817847.09,-7.29,-1.95,6.17
1489817847.09,-7.12,-1.99,6.23
1489817847.09,-6.97,-1.97,6.13
1489817847.09,-6.83,-1.87,6.0
1489817847.09,-6.71,-1.86,5.84
1489817847.09,-6.65,-1.99,5.79
1489817847.09,-6.68,-2.04,5.77
1489817847.09,-6.59,-2.03,5.88
1489817847.1,-6.5,-2.05,5.69
1489817847.1,-6.34,-2.13,5.38
1489817847.1,-6.05,-2.11,5.1
1489817847.1,-5.96,-2.29,4.86
1489817847.1,-6.19,-2.54,4.74
1489817847.1,-6.68,-2.66,5.09
1489817847.1,-7.2,-2.45,5.98
1489817847.1,-7.67,-2.08,6.72
1489817847.1,-8.12,-1.71,7.47
1489817847.1,-8.55,-1.7,7.78
1489817847.1,-8.89,-1.83,8.03
1489817847.1,-8.96,-1.89,7.92
1489817847.1,-8.49,-1.65,7.58
1489817847.1,-7.81,-1.6,6.93
1489817847.1,-7.19,-1.6,6.12
1489817847.1,-6.74,-1.62,5.42
1489817847.1,-6.54,-1.56,4.95
1489817847.1,-6.52,-1.59,4.86
1489817847.1,-6.65,-1.81,5.25
1489817847.1,-6.9,-1.88,5.64
1489817847.1,-7.19,-1.95,6.01
1489817847.1,-7.36,-2.03,6.45
1489817847.1,-7.68,-2.42,6.67
1489817847.1,-7.94,-2.46,6.6
1489817847.1,-7.99,-2.25,6.68
1489817847.1,-7.83,-2.07,6.7
1489817847.1,-7.44,-2.02,6.32
1489817847.1,-7.23,-2.04,6.01
1489817847.1,-7.08,-2.01,5.75
1489817847.1,-6.93,-2.03,5.47
1489817847.1,-6.86,-2.02,5.51
1489817847.1,-6.84,-1.89,5.68
1489817847.1,-7.0,-1.99,5.93
1489817847.1,-7.33,-2.15,6.09
1489817847.1,-7.69,-2.15,6.27
1489817847.1,-7.82,-2.08,6.67
1489817847.1,-7.77,-1.85,6.85
1489817847.1,-7.51,-1.75,6.61
1489817847.1,-7.43,-1.89,6.29
1489817847.1,-7.26,-1.89,5.86
1489817847.1,-7.1,-1.83,5.44
1489817847.11,-6.92,-1.97,5.4
1489817847.11,-6.99,-1.93,5.59
1489817847.11,-7.14,-2.01,5.82
1489817847.11,-7.41,-2.26,6.03
1489817847.11,-7.61,-2.12,6.11
1489817847.11,-7.83,-2.1,6.5
1489817847.11,-7.66,-1.96,6.7
1489817847.11,-7.47,-1.92,6.55
1489817847.11,-7.25,-2.03,6.14
1489817847.11,-7.06,-1.97,5.92
1489817847.11,-7.0,-1.91,5.62
1489817847.11,-6.98,-1.95,5.5
1489817847.11,-6.99,-1.87,5.71
1489817847.11,-7.08,-1.85,5.92
1489817847.11,-7.22,-1.94,5.95
1489817847.11,-7.48,-2.1,5.89
1489817847.11,-7.76,-2.28,6.12
1489817847.11,-7.99,-2.21,6.51
1489817847.11,-7.85,-2.06,6.71
1489817847.11,-7.64,-1.81,6.79
1489817847.11,-7.42,-1.84,6.39
1489817847.11,-7.25,-1.82,5.92
1489817847.11,-7.01,-1.94,5.62
1489817847.11,-7.05,-1.96,5.41
1489817847.11,-7.12,-1.99,5.61
1489817847.11,-7.24,-1.96,5.8
1489817847.11,-7.34,-1.94,6.0
1489817847.11,-7.43,-1.82,6.1
1489817847.11,-7.37,-1.81,6.13
1489817847.11,-7.36,-1.96,6.11
1489817847.11,-7.44,-2.08,6.09
1489817847.11,-7.63,-2.17,6.14
1489817847.11,-7.68,-2.15,6.22
1489817847.11,-7.56,-1.96,6.4
