timestamp,x,y,z
1489817684.01,-7.58,-1.61,5.98
1489817684.01,-7.52,-1.57,5.92
1489817684.01,-7.48,-1.62,5.86
1489817684.01,-7.51,-1.63,5.95
1489817684.01,-7.45,-1.59,6.0
1489817684.01,-7.47,-1.6,5.93
1489817684.01,-7.51,-1.63,6.01
1489817684.01,-7.5,-1.65,5.95
1489817684.01,-7.55,-1.57,5.84
1489817684.01,-7.47,-1.55,5.93
1489817684.01,-7.43,-1.52,5.98
1489817684.01,-7.46,-1.66,5.92
1489817684.01,-7.47,-1.69,5.94
1489817684.01,-7.52,-1.58,5.93
1489817684.01,-7.54,-1.59,5.85
1489817684.02,-7.57,-1.62,5.88
1489817684.02,-7.61,-1.64,6.02
1489817684.02,-7.67,-1.6,6.04
1489817684.02,-7.66,-1.57,6.04
1489817684.02,-7.53,-1.56,6.0
1489817684.02,-7.49,-1.58,5.94
1489817684.02,-7.46,-1.61,5.88
1489817684.02,-7.57,-1.62,5.87
1489817684.02,-7.56,-1.58,5.93
1489817684.02,-7.56,-1.64,6.0
1489817684.02,-7.52,-1.61,5.95
1489817684.02,-7.54,-1.58,5.95
1489817684.02,-7.49,-1.66,5.94
1489817684.02,-7.5,-1.56,5.94
1489817684.02,-7.51,-1.6,5.94
1489817684.02,-7.55,-1.58,6.02
1489817684.02,-7.56,-1.58,6.08
1489817684.02,-7.52,-1.6,6.14
1489817684.02,-7.53,-1.63,6.08
1489817684.02,-7.53,-1.65,5.91
1489817684.02,-7.5,-1.62,5.88
1489817684.02,-7.52,-1.6,5.92
1489817684.02,-7.58,-1.66,5.97
1489817684.02,-7.53,-1.58,6.0
1489817684.02,-7.49,-1.59,6.07
1489817684.02,-7.47,-1.69,5.97
1489817684.02,-7.46,-1.65,5.95
1489817684.02,-7.48,-1.69,5.9
1489817684.02,-7.48,-1.63,5.88
1489817684.02,-7.49,-1.67,5.92
1489817684.02,-7.54,-1.63,5.99
1489817684.02,-7.53,-1.7,6.14
1489817684.02,-7.51,-1.7,6.03
1489817684.02,-7.44,-1.59,5.83
1489817684.02,-7.34,-1.64,5.78
1489817684.02,-7.26,-1.56,5.76
1489817684.02,-7.31,-1.74,5.73
1489817684.02,-7.35,-1.68,5.92
1489817684.03,-7.36,-1.6,5.93
1489817684.03,-7.42,-1.65,5.89
1489817684.03,-7.47,-1.67,5.95
1489817684.03,-7.52,-1.61,6.0
1489817684.03,-7.54,-1.67,6.04
1489817684.03,-7.49,-1.6,5.96
1489817684.03,-7.47,-1.58,5.92
1489817684.03,-7.46,-1.58,5.84
1489817684.03,-7.41,-1.6,5.78
1489817684.03,-7.46,-1.68,5.89
1489817684.03,-7.53,-1.61,5.91
1489817684.03,-7.51,-1.65,6.11
1489817684.03,-7.51,-1.6,6.18
1489817684.03,-7.52,-1.58,6.11
1489817684.03,-7.5,-1.58,6.02
1489817684.03,-7.48,-1.67,5.96
1489817684.03,-7.47,-1.63,5.9
1489817684.03,-7.47,-1.62,5.93
1489817684.03,-7.47,-1.62,5.97
1489817684.03,-7.47,-1.64,6.01
1489817684.03,-7.47,-1.6,6.03
1489817684.03,-7.47,-1.6,6.01
1489817684.03,-7.51,-1.64,6.0
1489817684.03,-7.52,-1.61,5.98
1489817684.03,-7.58,-1.58,6.0
1489817684.03,-7.59,-1.64,6.03
1489817684.03,-7.54,-1.58,5.99
1489817684.03,-7.48,-1.57,5.93
1489817684.03,-7.53,-1.56,5.82
1489817684.03,-7.48,-1.55,5.9
1489817684.03,-7.55,-1.57,5.92
1489817684.03,-7.49,-1.5,5.88
1489817684.03,-7.49,-1.62,5.95
1489817684.03,-7.52,-1.62,5.98
1489817684.03,-7.56,-1.57,5.9
1489817684.03,-7.52,-1.56,5.96
1489817684.03,-7.46,-1.54,6.0
1489817684.03,-7.5,-1.7,5.94
1489817684.03,-7.48,-1.72,5.97
1489817684.03,-7.51,-1.66,5.96
1489817684.03,-7.47,-1.64,5.79
1489817684.03,-7.49,-1.7,5.87
1489817684.03,-7.57,-1.61,5.95
1489817684.03,-7.59,-1.59,6.04
1489817684.03,-7.61,-1.58,6.11
1489817684.03,-7.53,-1.61,5.98
1489817684.03,-7.47,-1.59,5.9
1489817684.03,-7.46,-1.62,5.86
1489817684.04,-7.5,-1.62,5.88
1489817684.05,-7.54,-1.58,5.88
1489817684.07,-7.5,-1.57,5.94
1489817684.08,-7.52,-1.58,5.96
1489817684.09,-7.53,-1.55,5.91
1489817684.11,-7.48,-1.55,5.97
1489817684.12,-7.55,-1.57,5.94
