timestamp,x,y,z
1489816934.62,-6.91,-0.16,7.0
1489816934.62,-6.98,-0.25,6.96
1489816934.62,-7.0,-0.24,7.17
1489816934.62,-6.9,-0.21,7.2
1489816934.62,-6.73,-0.21,7.24
1489816934.62,-6.7,-0.22,7.07
1489816934.62,-6.6,-0.19,7.0
1489816934.62,-6.54,-0.2,6.98
1489816934.62,-6.57,-0.13,6.85
1489816934.62,-6.6,-0.14,6.93
1489816934.62,-6.63,-0.15,6.9
1489816934.62,-6.61,-0.16,6.97
1489816934.62,-6.5,-0.16,7.1
1489816934.62,-6.53,-0.06,7.15
1489816934.62,-6.52,-0.03,7.07
1489816934.62,-6.62,-0.08,7.12
1489816934.62,-6.69,-0.13,7.16
1489816934.62,-6.75,-0.04,7.14
1489816934.62,-6.8,-0.11,7.16
1489816934.62,-6.72,-0.14,7.12
1489816934.63,-6.68,-0.07,7.11
1489816934.63,-6.62,-0.1,6.99
1489816934.63,-6.63,-0.09,6.91
1489816934.63,-6.63,-0.03,7.0
1489816934.63,-6.57,-0.02,7.04
1489816934.63,-6.67,-0.01,7.0
1489816934.63,-6.67,-0.08,6.97
1489816934.63,-6.68,-0.06,7.01
1489816934.63,-6.69,-0.03,7.05
1489816934.63,-6.67,-0.05,7.09
1489816934.63,-6.68,-0.08,7.13
1489816934.63,-6.71,0.04,7.22
1489816934.63,-6.7,-0.19,7.02
1489816934.63,-6.54,-0.14,7.04
1489816934.63,-6.45,-0.11,7.02
1489816934.63,-6.47,-0.08,6.95
1489816934.63,-6.46,-0.08,6.91
1489816934.63,-6.59,-0.14,6.98
1489816934.63,-6.69,-0.11,7.22
1489816934.63,-6.7,-0.05,7.4
1489816934.63,-6.73,-0.02,7.27
1489816934.63,-6.71,-0.04,7.23
1489816934.63,-6.66,-0.06,7.2
1489816934.63,-6.59,-0.02,7.13
1489816934.63,-6.52,0.0,7.03
1489816934.63,-6.56,0.06,7.04
1489816934.63,-6.58,0.05,7.02
1489816934.63,-6.62,0.09,7.04
1489816934.63,-6.71,-0.02,7.08
1489816934.63,-6.7,0.03,7.21
1489816934.63,-6.68,0.03,7.13
1489816934.63,-6.62,0.09,7.12
1489816934.63,-6.61,0.08,7.06
1489816934.63,-6.68,0.06,7.0
1489816934.63,-6.66,-0.0,7.04
1489816934.63,-6.59,-0.04,7.15
1489816934.63,-6.58,-0.02,7.18
1489816934.63,-6.6,-0.17,7.02
1489816934.63,-6.5,-0.14,6.9
1489816934.63,-6.34,-0.15,6.93
1489816934.63,-6.34,-0.04,6.87
1489816934.63,-6.36,-0.07,6.88
1489816934.64,-6.45,-0.08,7.04
1489816934.64,-6.52,-0.14,7.11
1489816934.64,-6.54,-0.13,7.1
1489816934.64,-6.57,-0.13,7.02
1489816934.64,-6.68,-0.09,6.99
1489816934.64,-6.76,-0.04,7.16
1489816934.64,-6.81,-0.08,7.01
1489816934.64,-6.75,-0.09,7.03
1489816934.64,-6.74,-0.05,7.16
1489816934.64,-6.7,-0.04,7.02
1489816934.64,-6.76,-0.1,6.95
1489816934.64,-6.79,-0.23,6.98
1489816934.64,-6.76,-0.15,7.04
1489816934.64,-6.7,-0.19,7.02
1489816934.64,-6.61,-0.17,6.99
1489816934.64,-6.66,-0.1,6.83
1489816934.64,-6.71,-0.22,6.82
1489816934.64,-6.79,-0.21,6.93
1489816934.64,-6.9,-0.19,7.09
1489816934.64,-6.91,-0.14,7.12
1489816934.64,-6.87,-0.12,7.09
1489816934.64,-6.81,-0.17,6.97
1489816934.64,-6.79,-0.14,6.89
1489816934.64,-6.77,-0.22,6.89
1489816934.64,-6.78,-0.24,6.9
1489816934.64,-6.79,-0.34,6.87
1489816934.64,-6.81,-0.24,6.96
