timestamp,x,y,z
1489817233.9,-7.53,-1.89,6.21
1489817233.9,-7.38,-1.86,6.13
1489817233.9,-7.39,-1.84,6.07
1489817233.9,-7.36,-1.83,6.05
1489817233.9,-7.33,-1.85,6.0
1489817233.9,-7.36,-1.84,5.96
1489817233.9,-7.35,-1.83,6.04
1489817233.9,-7.35,-1.83,6.03
1489817233.9,-7.35,-1.84,6.09
1489817233.9,-7.36,-1.91,6.1
1489817233.9,-7.37,-1.87,6.14
1489817233.9,-7.39,-1.88,6.05
1489817233.9,-7.4,-1.81,6.09
1489817233.9,-7.3,-1.71,6.17
1489817233.9,-7.31,-1.68,6.15
1489817233.9,-7.32,-1.86,6.06
1489817233.9,-7.28,-1.84,6.03
1489817233.9,-7.26,-1.8,5.99
1489817233.9,-7.35,-1.81,5.98
1489817233.9,-7.34,-1.89,6.02
1489817233.9,-7.4,-1.87,6.1
1489817233.9,-7.47,-1.92,6.25
1489817233.9,-7.45,-1.75,6.18
1489817233.9,-7.39,-1.85,6.2
1489817233.9,-7.45,-1.93,6.25
1489817233.9,-7.38,-1.95,6.29
1489817233.91,-7.32,-1.88,6.14
1489817233.91,-7.28,-1.87,6.06
1489817233.91,-7.35,-1.91,5.96
1489817233.91,-7.41,-1.88,6.02
1489817233.91,-7.44,-1.91,6.07
1489817233.91,-7.46,-1.85,6.22
1489817233.91,-7.47,-1.83,6.3
1489817233.91,-7.42,-1.75,6.33
1489817233.91,-7.34,-1.71,6.3
1489817233.91,-7.34,-1.76,6.18
1489817233.91,-7.38,-1.74,6.17
1489817233.91,-7.38,-1.75,6.17
1489817233.91,-7.33,-1.78,6.06
1489817233.91,-7.26,-1.82,6.03
1489817233.91,-7.34,-1.8,6.01
1489817233.91,-7.37,-1.86,6.07
1489817233.91,-7.34,-1.82,6.21
1489817233.91,-7.32,-1.81,6.35
1489817233.91,-7.35,-1.84,6.3
1489817233.91,-7.28,-1.88,6.12
1489817233.91,-7.24,-1.83,6.05
1489817233.91,-7.3,-1.81,6.1
1489817233.91,-7.26,-1.76,6.08
1489817233.91,-7.28,-1.82,6.03
1489817233.91,-7.2,-1.87,6.06
1489817233.91,-7.2,-1.81,6.08
1489817233.91,-7.23,-1.88,6.1
1489817233.91,-7.27,-1.84,6.2
1489817233.91,-7.24,-1.89,6.2
1489817233.91,-7.25,-1.85,6.03
1489817233.91,-7.21,-1.86,6.1
1489817233.91,-7.0,-1.79,6.04
1489817233.91,-7.05,-1.73,5.92
1489817233.91,-7.09,-1.83,6.02
1489817233.91,-7.19,-1.79,6.07
1489817233.91,-7.17,-1.81,6.12
1489817233.91,-7.24,-1.82,6.16
1489817233.91,-7.29,-1.81,6.31
1489817233.91,-7.3,-1.76,6.21
1489817233.91,-7.24,-1.87,6.17
1489817233.91,-7.18,-1.85,6.15
1489817233.91,-7.14,-1.81,6.15
1489817233.91,-7.13,-1.8,6.1
1489817233.91,-7.19,-1.8,6.09
1489817233.91,-7.25,-1.83,6.05
1489817233.92,-7.25,-1.84,6.04
1489817233.92,-7.19,-1.81,5.99
