timestamp,x,y,z
1489817540.48,-7.36,-2.33,5.9
1489817540.48,-7.32,-2.39,5.84
1489817540.48,-7.33,-2.38,5.95
1489817540.48,-7.39,-2.35,5.87
1489817540.48,-7.29,-2.38,5.8
1489817540.48,-7.21,-2.38,5.75
1489817540.48,-7.11,-2.42,5.83
1489817540.48,-7.07,-2.39,5.74
1489817540.48,-7.17,-2.35,5.76
1489817540.49,-7.25,-2.38,5.77
1489817540.49,-7.31,-2.36,5.81
1489817540.49,-7.39,-2.39,5.84
1489817540.49,-7.34,-2.37,5.93
1489817540.49,-7.35,-2.33,5.91
1489817540.49,-7.31,-2.34,5.83
1489817540.49,-7.24,-2.32,5.86
1489817540.49,-7.28,-2.29,5.76
1489817540.49,-7.33,-2.35,5.79
1489817540.49,-7.42,-2.36,5.83
1489817540.49,-7.49,-2.4,6.02
1489817540.49,-7.55,-2.38,6.08
1489817540.49,-7.51,-2.4,6.14
1489817540.49,-7.47,-2.32,6.11
1489817540.49,-7.4,-2.35,5.99
1489817540.49,-7.41,-2.34,5.89
1489817540.49,-7.45,-2.39,5.84
1489817540.49,-7.38,-2.35,5.83
1489817540.49,-7.35,-2.32,5.85
1489817540.49,-7.38,-2.31,5.82
1489817540.49,-7.33,-2.25,5.79
1489817540.49,-7.37,-2.3,5.81
1489817540.49,-7.42,-2.33,5.74
1489817540.49,-7.45,-2.35,5.82
1489817540.49,-7.5,-2.36,5.88
1489817540.49,-7.47,-2.33,5.98
1489817540.49,-7.48,-2.33,5.96
1489817540.5,-7.47,-2.44,5.98
1489817540.5,-7.47,-2.38,5.83
1489817540.5,-7.46,-2.31,5.79
1489817540.5,-7.44,-2.28,5.84
1489817540.5,-7.4,-2.27,5.75
1489817540.5,-7.39,-2.38,5.76
1489817540.5,-7.39,-2.35,5.77
1489817540.5,-7.39,-2.36,5.79
1489817540.5,-7.45,-2.35,5.77
1489817540.5,-7.47,-2.37,5.81
1489817540.5,-7.53,-2.36,5.89
1489817540.5,-7.56,-2.34,5.95
1489817540.5,-7.52,-2.29,5.92
1489817540.5,-7.45,-2.27,5.92
1489817540.5,-7.41,-2.31,5.8
1489817540.5,-7.37,-2.35,5.78
1489817540.5,-7.35,-2.33,5.74
1489817540.5,-7.42,-2.38,5.79
1489817540.5,-7.46,-2.35,5.77
1489817540.5,-7.52,-2.29,5.8
1489817540.5,-7.5,-2.35,5.88
1489817540.5,-7.5,-2.33,5.97
1489817540.5,-7.44,-2.33,6.0
1489817540.5,-7.45,-2.25,5.92
1489817540.5,-7.41,-2.27,5.81
1489817540.5,-7.43,-2.29,5.76
1489817540.5,-7.47,-2.31,5.71
1489817540.5,-7.55,-2.34,5.84
1489817540.5,-7.51,-2.34,5.89
1489817540.5,-7.48,-2.31,6.0
1489817540.5,-7.47,-2.35,5.92
1489817540.5,-7.48,-2.37,5.91
1489817540.5,-7.46,-2.39,5.88
1489817540.5,-7.43,-2.34,5.95
1489817540.5,-7.43,-2.32,5.88
1489817540.5,-7.44,-2.33,5.91
1489817540.5,-7.4,-2.35,5.87
1489817540.5,-7.41,-2.34,5.8
1489817540.5,-7.38,-2.33,5.82
1489817540.5,-7.39,-2.38,5.85
1489817540.5,-7.45,-2.37,5.84
1489817540.5,-7.42,-2.36,5.87
1489817540.5,-7.39,-2.37,6.0
1489817540.5,-7.38,-2.33,5.99
1489817540.5,-7.35,-2.42,5.99
1489817540.5,-7.46,-2.38,5.89
1489817540.5,-7.43,-2.31,5.77
1489817540.51,-7.31,-2.33,5.91
1489817540.51,-7.24,-2.31,5.77
1489817540.51,-7.25,-2.46,5.79
1489817540.51,-7.3,-2.41,5.84
1489817540.51,-7.32,-2.35,5.8
1489817540.51,-7.33,-2.37,5.84
1489817540.51,-7.41,-2.37,5.92
1489817540.51,-7.45,-2.38,5.99
1489817540.51,-7.36,-2.37,5.93
1489817540.51,-7.33,-2.38,5.96
1489817540.51,-7.26,-2.34,5.92
1489817540.51,-7.21,-2.33,5.78
1489817540.51,-7.13,-2.36,5.79
1489817540.51,-7.16,-2.35,5.78
