timestamp,x,y,z
1489817547.71,-7.36,-2.37,5.81
1489817547.71,-7.28,-2.36,5.87
1489817547.71,-7.34,-2.38,6.0
1489817547.71,-7.27,-2.35,6.02
1489817547.71,-7.24,-2.29,5.88
1489817547.71,-7.24,-2.27,5.87
1489817547.71,-7.24,-2.39,5.71
1489817547.71,-7.22,-2.42,5.66
1489817547.71,-7.23,-2.44,5.65
1489817547.71,-7.24,-2.49,5.69
1489817547.71,-7.32,-2.47,5.72
1489817547.71,-7.46,-2.5,5.85
1489817547.71,-7.48,-2.43,6.05
1489817547.71,-7.53,-2.46,6.17
1489817547.71,-7.52,-2.37,6.17
1489817547.71,-7.5,-2.34,6.05
1489817547.71,-7.55,-2.48,5.9
1489817547.72,-7.38,-2.27,5.88
1489817547.72,-7.35,-2.39,5.81
1489817547.72,-7.33,-2.33,5.74
1489817547.72,-7.32,-2.42,5.71
1489817547.72,-7.4,-2.38,5.81
1489817547.72,-7.44,-2.34,5.89
1489817547.72,-7.42,-2.32,5.88
1489817547.72,-7.37,-2.35,5.88
1489817547.72,-7.44,-2.36,5.97
1489817547.72,-7.44,-2.36,5.92
1489817547.72,-7.36,-2.33,5.9
1489817547.72,-7.37,-2.37,5.85
1489817547.72,-7.4,-2.42,5.83
1489817547.72,-7.47,-2.35,5.79
1489817547.72,-7.55,-2.35,5.9
1489817547.72,-7.47,-2.31,5.97
1489817547.72,-7.43,-2.31,5.86
1489817547.72,-7.41,-2.45,5.79
1489817547.72,-7.39,-2.45,5.74
1489817547.72,-7.44,-2.4,5.84
1489817547.72,-7.47,-2.39,5.84
1489817547.72,-7.53,-2.42,5.91
1489817547.72,-7.54,-2.45,6.01
1489817547.72,-7.51,-2.26,5.93
1489817547.72,-7.4,-2.34,5.9
1489817547.72,-7.46,-2.4,5.97
1489817547.72,-7.43,-2.39,5.81
1489817547.72,-7.44,-2.42,5.84
1489817547.72,-7.37,-2.37,5.92
1489817547.72,-7.31,-2.4,6.0
1489817547.72,-7.4,-2.37,5.96
1489817547.72,-7.46,-2.37,5.86
1489817547.72,-7.48,-2.36,5.98
1489817547.72,-7.52,-2.37,6.01
1489817547.72,-7.5,-2.35,6.11
1489817547.72,-7.47,-2.31,6.04
1489817547.72,-7.41,-2.26,5.92
1489817547.72,-7.34,-2.32,5.89
1489817547.72,-7.43,-2.44,5.9
1489817547.72,-7.46,-2.42,5.86
1489817547.72,-7.36,-2.43,5.82
1489817547.72,-7.3,-2.37,5.9
1489817547.73,-7.26,-2.4,5.81
1489817547.73,-7.31,-2.38,5.85
1489817547.73,-7.35,-2.44,5.84
1489817547.73,-7.39,-2.47,5.98
1489817547.73,-7.35,-2.41,6.01
1489817547.73,-7.26,-2.39,6.06
1489817547.73,-7.22,-2.41,6.06
1489817547.73,-7.24,-2.44,6.07
1489817547.73,-7.28,-2.5,5.96
1489817547.73,-7.21,-2.44,5.97
1489817547.73,-7.27,-2.38,6.05
1489817547.73,-7.25,-2.39,6.04
1489817547.73,-7.26,-2.44,6.09
1489817547.73,-7.3,-2.39,6.14
1489817547.73,-7.33,-2.39,6.11
1489817547.73,-7.21,-2.38,6.25
1489817547.73,-7.13,-2.41,6.36
1489817547.73,-7.24,-2.43,6.13
1489817547.73,-7.29,-2.45,6.04
1489817547.73,-7.27,-2.46,5.95
1489817547.73,-7.05,-2.37,5.83
1489817547.73,-6.89,-2.22,5.84
1489817547.73,-6.81,-2.42,5.83
1489817547.73,-6.78,-2.35,5.64
1489817547.73,-6.81,-2.44,5.66
1489817547.73,-6.84,-2.54,5.68
1489817547.73,-6.73,-2.38,5.66
1489817547.73,-6.75,-2.46,5.7
1489817547.73,-6.88,-2.49,5.84
1489817547.73,-7.05,-2.63,5.96
1489817547.73,-7.23,-2.55,6.14
1489817547.73,-7.41,-2.5,6.31
1489817547.73,-7.49,-2.57,6.33
1489817547.73,-7.39,-2.48,6.2
1489817547.73,-7.34,-2.52,6.08
1489817547.73,-7.15,-2.57,5.98
1489817547.73,-7.16,-2.41,5.9
1489817547.73,-7.09,-2.47,5.86
1489817547.73,-7.13,-2.42,5.84
1489817547.73,-7.18,-2.34,5.98
1489817547.73,-7.19,-2.33,5.99
1489817547.73,-7.29,-2.27,6.17
1489817547.74,-7.42,-2.27,6.22
1489817547.75,-7.53,-2.28,6.38
1489817547.77,-7.65,-2.3,6.44
1489817547.78,-7.7,-2.32,6.36
1489817547.79,-7.6,-2.4,6.24
1489817547.81,-7.45,-2.4,6.07
1489817547.82,-7.33,-2.38,5.91
1489817547.84,-7.22,-2.44,5.74
1489817547.85,-7.18,-2.42,5.75
1489817547.87,-7.21,-2.4,5.75
1489817547.88,-7.19,-2.39,5.79
1489817547.9,-7.23,-2.43,5.86
1489817547.91,-7.26,-2.5,5.97
1489817547.93,-7.36,-2.49,6.24
1489817547.94,-7.47,-2.39,6.44
1489817547.95,-7.58,-2.22,6.5
1489817547.97,-7.54,-2.24,6.41
1489817547.98,-7.42,-2.34,6.34
1489817548.0,-7.22,-2.55,5.94
1489817548.02,-7.04,-2.65,5.41
1489817548.03,-6.91,-2.6,5.03
1489817548.04,-6.85,-2.47,4.96
1489817548.06,-6.86,-2.51,5.33
1489817548.07,-6.95,-2.38,5.45
1489817548.09,-7.26,-2.45,5.79
1489817548.1,-7.44,-2.49,6.12
1489817548.11,-7.56,-2.46,6.47
1489817548.13,-7.68,-2.41,6.44
1489817548.15,-7.77,-2.49,6.46
1489817548.16,-7.81,-2.53,6.41
1489817548.18,-7.72,-2.4,6.17
1489817548.19,-7.54,-2.4,5.98
1489817548.2,-7.36,-2.32,5.76
1489817548.22,-7.15,-2.33,5.6
1489817548.23,-6.99,-2.31,5.54
1489817548.24,-6.98,-2.34,5.61
1489817548.26,-7.02,-2.33,5.79
1489817548.28,-7.22,-2.39,5.99
1489817548.29,-7.47,-2.53,6.08
1489817548.31,-7.61,-2.52,6.2
1489817548.32,-7.67,-2.52,6.36
1489817548.34,-7.67,-2.33,6.29
1489817548.35,-7.48,-2.33,6.07
1489817548.36,-7.38,-2.28,5.94
1489817548.38,-7.33,-2.33,5.85
1489817548.39,-7.29,-2.33,5.76
1489817548.41,-7.35,-2.45,5.83
1489817548.42,-7.47,-2.48,6.0
1489817548.44,-7.58,-2.5,6.26
1489817548.45,-7.6,-2.36,6.2
1489817548.47,-7.54,-2.33,6.09
1489817548.48,-7.48,-2.41,6.18
1489817548.49,-7.42,-2.44,6.1
1489817548.51,-7.41,-2.49,6.0
1489817548.52,-7.35,-2.43,5.88
1489817548.54,-7.24,-2.43,5.92
1489817548.55,-7.21,-2.44,5.84
1489817548.57,-7.19,-2.44,5.95
1489817548.58,-7.24,-2.38,6.01
1489817548.6,-7.29,-2.38,6.22
1489817548.61,-7.35,-2.41,6.31
1489817548.63,-7.34,-2.4,6.35
1489817548.64,-7.27,-2.43,6.2
1489817548.65,-7.25,-2.46,5.97
1489817548.67,-7.23,-2.54,5.91
1489817548.68,-7.43,-2.49,6.0
1489817548.7,-7.19,-2.33,6.07
1489817548.71,-7.08,-2.27,6.19
1489817548.73,-7.01,-2.39,6.0
1489817548.74,-6.87,-2.36,5.71
1489817548.76,-6.9,-2.47,5.76
1489817548.77,-7.01,-2.41,6.02
1489817548.79,-7.04,-2.5,6.12
1489817548.8,-7.05,-2.55,6.14
1489817548.81,-7.08,-2.54,6.13
1489817548.83,-6.97,-2.41,6.07
1489817548.84,-6.81,-2.48,6.0
1489817548.86,-6.74,-2.43,5.81
1489817548.87,-6.63,-2.46,5.8
1489817548.89,-6.54,-2.36,5.73
1489817548.9,-6.48,-2.4,5.63
1489817548.92,-6.43,-2.35,5.59
1489817548.93,-6.5,-2.42,5.63
1489817548.95,-6.65,-2.61,5.61
1489817548.96,-6.81,-2.86,5.57
1489817548.97,-6.95,-2.98,5.59
1489817548.99,-7.0,-2.67,5.87
1489817549.0,-7.16,-2.6,5.99
1489817549.02,-7.48,-2.47,6.14
1489817549.03,-7.96,-2.34,6.67
1489817549.05,-8.37,-2.11,7.15
1489817549.06,-8.37,-2.03,7.35
1489817549.08,-8.26,-2.04,7.43
1489817549.09,-7.91,-1.94,6.95
1489817549.1,-7.4,-2.07,6.34
1489817549.12,-7.19,-2.27,5.78
1489817549.13,-6.99,-2.42,5.42
1489817549.15,-7.0,-2.38,5.31
1489817549.16,-7.05,-2.51,5.57
1489817549.18,-7.12,-2.48,5.76
1489817549.19,-7.23,-2.49,5.95
1489817549.21,-7.32,-2.47,6.09
1489817549.22,-7.39,-2.55,6.42
1489817549.24,-7.36,-2.5,6.48
1489817549.25,-7.35,-2.47,6.36
1489817549.26,-7.21,-2.41,6.22
1489817549.28,-7.14,-2.37,6.01
1489817549.29,-7.13,-2.31,5.61
1489817549.31,-7.08,-2.37,5.61
1489817549.32,-7.09,-2.46,5.64
1489817549.34,-7.12,-2.48,5.7
1489817549.35,-7.23,-2.5,5.9
1489817549.37,-7.25,-2.43,5.98
1489817549.38,-7.24,-2.45,6.02
1489817549.4,-7.3,-2.53,6.04
1489817549.41,-7.41,-2.59,6.0
1489817549.42,-7.5,-2.58,6.03
1489817549.44,-7.52,-2.54,6.01
1489817549.45,-7.43,-2.46,5.88
1489817549.47,-7.31,-2.46,5.84
1489817549.48,-7.22,-2.48,5.8
1489817549.5,-7.13,-2.39,5.77
1489817549.51,-7.06,-2.43,5.77
1489817549.53,-7.19,-2.47,5.88
1489817549.54,-7.38,-2.49,6.0
1489817549.56,-7.51,-2.41,6.1
1489817549.57,-7.49,-2.35,6.36
1489817549.58,-7.43,-2.33,6.38
1489817549.6,-7.34,-2.23,6.18
1489817549.61,-7.21,-2.32,6.01
1489817549.63,-7.13,-2.34,5.85
1489817549.65,-7.19,-2.32,5.63
1489817549.66,-7.31,-2.45,5.74
1489817549.67,-7.3,-2.37,5.88
1489817549.69,-7.34,-2.36,5.97
1489817549.7,-7.35,-2.36,6.04
1489817549.72,-7.36,-2.34,6.01
1489817549.73,-7.34,-2.37,5.95
1489817549.74,-7.37,-2.39,5.94
1489817549.76,-7.42,-2.41,5.87
1489817549.78,-7.38,-2.38,5.89
1489817549.79,-7.45,-2.38,5.89
1489817549.81,-7.42,-2.34,5.77
1489817549.82,-7.41,-2.3,5.82
1489817549.83,-7.4,-2.3,5.91
1489817549.85,-7.29,-2.3,5.97
1489817549.86,-7.25,-2.29,5.9
1489817549.87,-7.28,-2.37,5.89
1489817549.89,-7.23,-2.32,5.95
1489817549.91,-7.33,-2.31,5.9
1489817549.92,-7.29,-2.33,6.01
1489817549.94,-7.37,-2.3,6.08
1489817549.95,-7.4,-2.36,6.0
1489817549.97,-7.32,-2.46,5.93
1489817549.98,-7.33,-2.36,5.91
1489817549.99,-7.34,-2.33,5.76
1489817550.01,-7.32,-2.3,5.76
1489817550.02,-7.35,-2.36,5.96
1489817550.04,-7.35,-2.27,6.0
1489817550.05,-7.44,-2.15,6.04
1489817550.07,-7.58,-2.14,5.97
1489817550.08,-7.49,-2.03,5.98
1489817550.1,-7.38,-2.05,5.81
1489817550.11,-7.3,-2.06,5.86
1489817550.12,-7.36,-2.04,5.91
1489817550.14,-7.56,-2.04,5.84
1489817550.15,-7.58,-1.98,5.95
1489817550.17,-7.43,-1.96,5.93
1489817550.18,-7.34,-1.99,6.02
1489817550.2,-7.4,-1.97,5.93
1489817550.21,-7.35,-2.12,5.9
1489817550.23,-7.36,-2.11,5.93
1489817550.24,-7.34,-2.14,5.98
1489817550.26,-7.28,-2.17,5.96
1489817550.27,-7.42,-2.22,5.96
1489817550.28,-7.4,-2.29,6.01
1489817550.3,-7.4,-2.32,6.0
1489817550.31,-7.4,-2.38,5.93
1489817550.33,-7.31,-2.4,5.83
1489817550.34,-7.26,-2.37,5.89
1489817550.36,-7.38,-2.31,5.85
1489817550.37,-7.37,-2.35,5.86
1489817550.39,-7.35,-2.31,5.9
1489817550.4,-7.45,-2.3,5.88
1489817550.42,-7.45,-2.29,5.87
1489817550.43,-7.49,-2.24,5.94
1489817550.44,-7.48,-2.23,5.93
1489817550.46,-7.34,-2.15,5.88
1489817550.47,-7.41,-2.2,5.92
1489817550.49,-7.31,-2.26,5.89
1489817550.5,-7.44,-2.15,5.81
1489817550.52,-7.4,-2.18,5.94
1489817550.53,-7.37,-2.15,5.98
1489817550.55,-7.35,-2.17,5.87
1489817550.56,-7.36,-2.28,5.93
1489817550.58,-7.34,-2.15,5.94
1489817550.59,-7.32,-2.14,5.83
1489817550.6,-7.35,-2.1,5.85
1489817550.62,-7.44,-2.15,5.91
1489817550.63,-7.58,-2.13,5.97
1489817550.65,-7.66,-2.13,6.19
1489817550.66,-7.76,-2.16,6.17
1489817550.68,-7.74,-2.11,6.39
1489817550.69,-7.74,-2.12,6.56
1489817550.71,-7.73,-2.07,6.61
1489817550.72,-7.59,-2.04,6.39
1489817550.74,-7.47,-2.03,6.03
1489817550.75,-7.47,-2.24,5.68
1489817550.77,-7.33,-2.32,5.72
1489817550.78,-7.24,-2.34,5.71
1489817550.79,-7.32,-2.3,5.85
1489817550.81,-7.37,-2.35,5.95
1489817550.82,-7.44,-2.46,6.16
1489817550.84,-7.35,-2.36,6.32
1489817550.85,-7.33,-2.31,6.34
1489817550.87,-7.37,-2.17,6.17
1489817550.88,-7.25,-2.29,5.99
1489817550.89,-7.21,-2.35,5.82
1489817550.91,-7.11,-2.29,5.84
1489817550.92,-7.13,-2.37,5.9
1489817550.94,-7.21,-2.26,6.11
1489817550.95,-7.13,-2.35,5.99
1489817550.97,-7.06,-2.37,5.96
1489817550.98,-7.0,-2.27,5.95
1489817551.0,-7.03,-2.33,5.97
1489817551.01,-7.03,-2.35,6.07
1489817551.03,-6.98,-2.21,6.01
1489817551.04,-7.0,-2.33,6.13
1489817551.05,-7.1,-2.25,6.29
1489817551.07,-7.07,-2.18,6.31
1489817551.08,-7.1,-2.19,6.15
1489817551.1,-7.14,-2.18,6.13
1489817551.12,-7.02,-2.26,6.21
1489817551.13,-6.95,-2.14,6.25
1489817551.14,-6.91,-2.2,6.17
1489817551.16,-7.02,-2.34,6.14
1489817551.17,-7.13,-2.38,6.18
1489817551.19,-7.03,-2.25,6.18
1489817551.2,-7.01,-2.17,6.15
1489817551.21,-7.02,-2.35,6.23
1489817551.23,-7.01,-2.45,6.15
1489817551.25,-6.85,-2.37,6.05
1489817551.26,-6.75,-2.43,5.93
1489817551.28,-6.65,-2.41,5.94
1489817551.29,-6.56,-2.45,5.81
1489817551.3,-6.55,-2.56,5.76
1489817551.32,-6.62,-2.69,5.69
1489817551.33,-6.61,-2.73,5.51
1489817551.35,-6.59,-2.83,5.6
1489817551.36,-6.68,-2.87,5.48
1489817551.37,-6.75,-3.0,5.52
1489817551.39,-6.8,-2.77,5.99
1489817551.41,-7.09,-2.47,6.4
1489817551.42,-8.1,-2.43,6.93
1489817551.44,-8.46,-2.42,7.1
1489817551.45,-8.39,-2.04,7.59
1489817551.46,-8.14,-1.96,7.41
1489817551.48,-7.58,-2.02,6.55
1489817551.49,-7.2,-2.15,5.82
1489817551.51,-6.93,-2.26,5.33
1489817551.52,-6.94,-2.24,5.41
1489817551.54,-7.02,-2.09,5.84
1489817551.55,-7.23,-2.14,6.04
1489817551.57,-7.24,-2.32,6.39
1489817551.58,-7.28,-2.33,6.12
1489817551.6,-7.24,-2.45,6.07
1489817551.61,-7.36,-2.54,6.11
1489817551.62,-7.5,-2.69,6.24
1489817551.64,-7.38,-2.69,6.19
1489817551.65,-7.23,-2.63,6.28
1489817551.67,-7.26,-2.58,6.06
1489817551.68,-7.24,-2.49,6.0
1489817551.7,-7.21,-2.54,6.04
1489817551.71,-7.05,-2.47,5.92
1489817551.73,-6.95,-2.53,5.88
1489817551.74,-7.01,-2.51,5.84
1489817551.75,-7.07,-2.49,5.77
1489817551.77,-7.15,-2.39,5.74
1489817551.78,-7.26,-2.46,5.82
1489817551.8,-7.34,-2.5,5.96
1489817551.81,-7.43,-2.57,6.05
1489817551.83,-7.41,-2.55,6.03
1489817551.84,-7.42,-2.55,6.0
1489817551.86,-7.3,-2.6,6.0
1489817551.87,-7.2,-2.52,6.05
1489817551.89,-7.12,-2.48,6.07
1489817551.9,-7.13,-2.48,5.94
1489817551.91,-7.23,-2.57,5.99
1489817551.93,-7.2,-2.58,6.05
1489817551.94,-7.24,-2.59,6.03
1489817551.96,-7.34,-2.65,6.11
1489817551.97,-7.21,-2.67,6.06
1489817551.99,-7.15,-2.5,6.03
1489817552.0,-7.18,-2.49,5.98
1489817552.02,-7.2,-2.49,5.91
1489817552.03,-7.29,-2.45,5.97
1489817552.05,-7.3,-2.36,6.06
1489817552.06,-7.24,-2.29,6.04
1489817552.07,-7.17,-2.21,6.06
1489817552.09,-7.24,-2.33,5.89
1489817552.1,-7.32,-2.43,5.88
1489817552.12,-7.37,-2.45,6.03
1489817552.13,-7.43,-2.57,5.95
1489817552.15,-7.48,-2.59,5.93
1489817552.16,-7.54,-2.64,5.97
1489817552.18,-7.36,-2.57,6.0
1489817552.19,-7.27,-2.53,5.97
1489817552.21,-7.03,-2.54,5.95
1489817552.22,-7.02,-2.61,5.78
1489817552.23,-7.08,-2.58,5.9
1489817552.25,-7.18,-2.56,5.9
1489817552.26,-7.22,-2.64,6.0
1489817552.28,-7.18,-2.57,6.02
1489817552.29,-7.24,-2.64,6.0
1489817552.31,-7.2,-2.63,6.04
1489817552.32,-7.17,-2.56,6.04
1489817552.34,-7.22,-2.48,5.91
